Category,Type,Year,Module name,Unclocked by Tech,Tech Name,,Module Loc Name,Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resources,,,,,,,
,,,,,Long,Short,,"Reliability, %",Hardness,Hard attack,"Hard attack, %",Soft attack,"Soft attack, %",Breakthrough,"Breakthrough, %",Defence,"Defence, %",Armor,"Armor, %",Piercing,"Piercing, %",Max speed,"Max speed, %",Recon,"Recon, %",Entrenchment,Supply consumption,"Supply consumption, %",Fuel consumption,"Fuel consumption, %",Air Attack,"Air Attack, %",Production cost,"Production cost, %",Dismantling cost,Electricity,Construction metals,Light metals,Rare-earth metals,Nuclear materials,,,
,,2005,Modern Panoramic Sight,Modern Panoramic Sight,,Panoramic Sight III,Panoramic_Sight_2,,,,,,,6,0.12,4,0.12,,,,,,,1.5,,,,,0.2,,,,4,,0.2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Artillery Optics [DONE],1939,Artillery Sight,Base,,Artillery Sight I,Arty_Optics_0,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.15,,,,,,,,
,,2000,Muzzle Velocity Radar,???,,Artillery Sight II,Arty_Optics_1,,,,0.2,,0.2,,0.2,,0.2,,,,,,,,,,,-0.1,0.3,,,,8,,0.25,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SPAAG Optics [DONE],1939,Basic AA Optic Sights,Base,,AA Sight I,AA_Optics_0,-4%,,,15%,,15%,,7.5%,,7.5%,,,,,,,,,,,,0.15,,,7.5%,3.5,,0.45,,,,1,,,,
,,1970,AA sight with laser rangefinder,Sight With Laser Rangefinder,,AA Sight II,AA_Optics_1,-0.04,,,0.17499999999999999,,0.17499999999999999,,0.1,,0.1,,,,,,,,,,,,0.2,,,0.1,4.5,,0.55000000000000004,,,,1,,,,
,,1980,AA sight with IR tracker,Advanced Sight With Laser Rangefinder,,AA Sight III,AA_Optics_2,-0.04,,,0.19999999999999998,,0.19999999999999998,,0.125,,0.125,,,,,,,,,,,,0.25,,,0.15000000000000002,5.5,,0.65,,,,1,,,,
,,1990,IR/TV & opto-electronic AA sights,Early Modern Sight With Laser Rangefinder,,AA Sight IV,AA_Optics_3,-0.04,,,0.22499999999999998,,0.22499999999999998,,0.15,,0.15,,,,,,,,,,,,0.3,,,0.2,6.5,,0.75,,,,1,,,,
,,2000,Modern IR/TV & opto-electronic AA sights,Oopsie,,AA Sight V,AA_Optics_4,-0.04,,,0.24999999999999997,,0.24999999999999997,,0.17499999999999999,,0.17499999999999999,,,,,,,,,,,,0.35,,,0.25,7.5,,0.85,,,,1,,,,
,,2010,Advanced modern IR/TV & opto-electronic AA sights,Advanced Sight With Laser Rangefinder,,AA Sight VI,AA_Optics_5,-0.04,,,0.27499999999999997,,0.27499999999999997,,0.19999999999999998,,0.19999999999999998,,,,,,,,,,,,0.39999999999999997,,,0.3,8.5,,0.95,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Computing [DONE],1955,Mechanical Ballistic Computer,Mechanical Ballistic Computer,,Ballistic Computer I,Computer_0,-0.05,,,0.05,,0.05,,0.05,,0.05,,,,,,,,,,,-0.05,0.15,,,,3,,0.1,,,,,,,,
,,1965,Analog-Digital Ballistic Computer,Analog-Digital Ballistic Computer,,Ballistic Computer II,Computer_1,-2.5000000000000001E-2,,,0.1,,0.1,,0.1,,0.1,,,,,,,,,,,-7.5000000000000011E-2,0.25,,,,3.75,,0.15000000000000002,,,,1,,,,
,,1975,Digital Ballistic Computer,Digital Ballistic Computer,,Ballistic Computer III,Computer_2,-1.0000000000000002E-2,,,0.15000000000000002,,0.15000000000000002,,0.15000000000000002,,0.15000000000000002,,,,,,,,,,,-0.1,0.35,,,,4.5,,0.2,,,,2,,,,
,,1985,Advanced Digital Ballistic Computer,Advanced Digital Ballistic Computer,,Ballistic Computer IV,Computer_3,-1.0000000000000002E-2,,,0.2,,0.2,,0.2,,0.2,,,,,,,,0.1,,,-0.125,0.44999999999999996,,,,5.25,,0.25,,,,2,,,,
,,1995,Early Modern Digital Ballistic Computer,Early Modern Digital Ballistic Computer,,Ballistic Computer V,Computer_4,-1.0000000000000002E-2,,,0.25,,0.25,,0.25,,0.25,,,,,,,,0.15000000000000002,,,-0.15,0.54999999999999993,,,,6,,0.3,,,,2,,,,
,,2005,Modern Digital Ballistic Computer,Modern Digital Ballistic Computer,,Ballistic Computer VI,Computer_5,-1.0000000000000002E-2,,,0.30000000000000004,,0.30000000000000004,,0.30000000000000004,,0.30000000000000004,,,,,,,,0.2,,,-0.17499999999999999,0.64999999999999991,,,,6.75,,0.35,,,,2,,,,
,,2015,Advanced Modern Digital Ballistic Computer,Advanced Modern Digital Ballistic Computer,,Ballistic Computer VII,Computer_6,-1.0000000000000002E-2,,,0.35000000000000003,,0.35000000000000003,,0.35000000000000003,,0.35000000000000003,,,,,,,,0.25,,,-0.19999999999999998,0.74999999999999989,,,,7.5,,0.39999999999999997,,,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Computing Artillery [DONE],1985,Artillery Ballistic Computer,Advanced Digital Ballistic Computer,,Artillery Ballistic Computer I,Computer_arty_0,-0.01,,,0.25,,0.25,,0.25,,0.25,,,,,,,,,,,-0.17499999999999999,0.45,,,,5.25,,0.25,,,,2,,,,
,,1995,Early Modern Artillery Ballistic Computer,Early Modern Digital Ballistic Computer,,Artillery Ballistic Computer II,Computer_arty_1,-0.01,,,0.3,,0.3,,0.3,,0.3,,,,,,,,,,,-0.19999999999999998,0.55000000000000004,,,,6,,0.3,,,,2,,,,
,,2005,Modern Artillery Ballistic Computer,Modern Digital Ballistic Computer,,Artillery Ballistic Computer III,Computer_arty_2,-0.01,,,0.35,,0.35,,0.35,,0.35,,,,,,,,,,,-0.22499999999999998,0.65,,,,6.75,,0.35,,,,2,,,,
,,2015,Advanced Modern Artillery Ballistic Computer,Advanced Modern Digital Ballistic Computer,,Artillery Ballistic Computer IV,Computer_arty_3,-0.01,,,0.39999999999999997,,0.39999999999999997,,0.39999999999999997,,0.39999999999999997,,,,,,,,,,,-0.24999999999999997,0.75,,,,7.5,,0.39999999999999997,,,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Computing SPAAG [DONE],1960,Early Cold War Radar,Radar 1960,,Radar I,Radar_0,-0.05,,,,,,,,,,,,,,,,,,,,-0.05,1,Нужно ли добавить топливо в запас?,,0.2,4,,0.1,,,,1,,,,
,,1970,Mid-Cold War Radar,Radar 1970,,Radar II,Radar_1,-0.05,,,,,,,,,,,,,,,,,,,,-7.5000000000000011E-2,1.2,,,0.25,4.75,,0.15000000000000002,,,,1,,,,
,,1980,Late Cold War Radar,Radar 1980,,Radar III,Radar_2,-0.05,,,,,,,,,,,,,,,,,,,,-0.1,1.4,,,0.3,5.5,,0.2,,,,1,,,,
,,1990,Early Modern Radar,Radar 1990,,Radar IV,Radar_3,-0.05,,,,,,,,,,,,,,,,,,,,-0.125,1.5999999999999999,,,0.35,6.25,,0.25,,,,2,,,,
,,2000,Modern Radar,Radar 2000,,Radar V,Radar_4,-0.05,,,,,,,,,,,,,,,,,,,,-0.15,1.7999999999999998,,,0.39999999999999997,7,,0.3,,,,2,,,,
,,2010,Improved Modern Radar,Radar 2010,,Radar VI,Radar_5,-0.05,,,,,,,,,,,,,,,,,,,,-0.17499999999999999,1.9999999999999998,,,0.44999999999999996,7.75,,0.35,,,,2,,,,
,,2020,Advanced Modern Radar,Radar 2020,,Radar VII,Radar_6,-0.05,,,,,,,,,,,,,,,,,,,,-0.19999999999999998,2.1999999999999997,,,0.49999999999999994,8.5,,0.39999999999999997,,,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Type,Year,Module name,Unclocked by Tech,Tech Name,,Module Loc Name,Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resources,,,,,,,
,,,,,Long,Short,,"Reliability, %",Hardness,Hard attack,"Hard attack, %",Soft attack,"Soft attack, %",Breakthrough,"Breakthrough, %",Defence,"Defence, %",Armor,"Armor, %",Piercing,"Piercing, %",Max speed,"Max speed, %",Recon,"Recon, %",Entrenchment,Supply consumption,"Supply consumption, %",Fuel consumption,"Fuel consumption, %",Air Attack,"Air Attack, %",Production cost,"Production cost, %",Dismantling cost,Electricity,Construction metals,Light metals,Rare-earth metals,Nuclear materials,,,
Engines & suspension,Diesel Engines [DONE],1939,World War II diesel engine,WWII Combustion Engines,,Combustion Engines I,Diesel_0,0.1,,,,,,,,,,,,,,,,,,,,,2,,,,2,,0.2,,1,,,,,,
,,1950,Post-war diesel engine,Post-WWII Combustion Engines,,Combustion Engines II,Diesel_1,0.125,,,,,,,,,,,,,,,0.02,,,,,,1.9,-0.02,,,2.2999999999999998,,0.25,,1,,,,,,
,,1960,Early Cold War diesel engine,Early Cold War Combustion Engines,,Combustion Engines III,Diesel_2,0.15,,,,,,,,,,,,,,,0.04,,,,,,1.7999999999999998,-0.04,,,2.5999999999999996,,0.3,,1,,,,,,
,,1970,Mid-Cold War diesel engine,Mid-Cold War Combustion Engines,,Combustion Engines IV,Diesel_3,0.17499999999999999,,,,,,,,,,,,,,,0.06,,,,,,1.6999999999999997,-0.06,,,2.8999999999999995,,0.35,,1,,,,,,
,,1980,Late Cold War diesel engine,Late Cold War Combustion Engines,,Combustion Engines V,Diesel_4,0.19999999999999998,,,,,,,,,,,,,,,0.08,,,,,,1.5999999999999996,-0.08,,,3.1999999999999993,,0.39999999999999997,,2,,,,,,
,,2000,Modern diesel engine,Modern Combustion Engines,,Combustion Engines VI,Diesel_5,0.22499999999999998,,,,,,,,,,,,,,,0.1,,,,,,1.4999999999999996,-0.1,,,3.4999999999999991,,0.44999999999999996,,2,1,,,,,
,,2020,Hybrid diesel-electric propulsion,Hybrid Diesel-Electric Propulsion,,Combustion Engines VII,Diesel_6,0.24999999999999997,,,,,,6,0.1,6,0.1,,,,,1,0.12000000000000001,,,,,,1.3999999999999995,-0.12000000000000001,,,3.7999999999999989,0.05,0.79999999999999993,,2,3,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Petrol Engines [DONE],1939,World War II petrol engine,WWII Combustion Engines,,Combustion Engines I,Petrol_0,,,,,,,,,,,,,,,1,0.05,,,,,,2.4,,,,1,,0.2,,,,,,,,
,,1950,Post-war petrol engine,Post-WWII Combustion Engines,,Combustion Engines II,Petrol_1,2.5000000000000001E-2,,,,,,,,,,,,,,1,7.0000000000000007E-2,,,,,,2.2999999999999998,-0.02,,,1.3,,0.25,,,,,,,,
,,1960,Early Cold War petrol engine,Early Cold War Combustion Engines,,Combustion Engines III,Petrol_2,0.05,,,,,,,,,,,,,,1,9.0000000000000011E-2,,,,,,2.1999999999999997,-0.04,,,1.6,,0.3,,,,,,,,
,,1970,Mid-Cold War petrol engine,Mid-Cold War Combustion Engines,,Combustion Engines IV,Petrol_3,7.5000000000000011E-2,,,,,,,,,,,,,,1,0.11000000000000001,,,,,,2.0999999999999996,-0.06,,,1.9000000000000001,,0.35,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas Turbine Engines [DONE],1960,Early Cold War gas turbine engine,Early Cold War Gas Turbine Engines,,Gas Turbine Engines I,GT_0,-0.05,,,,,,3,,3,,,,,,2,0.2,,,,,,3.5,,,,7,,0.3,,2,1,,,,,
,,1970,Mid-Cold War gas turbine engine,Mid-Cold War Gas Turbine Engines,,Gas Turbine Engines II,GT_1,2.4999999999999994E-2,,,,,,3.5,,3.5,,,,,,2,0.22,,,,,,3.4,-0.04,,,7.3,,0.35,,2,1,,,,,
,,1980,Late Cold War gas turbine engine,Late Cold War Gas Turbine Engines,,Gas Turbine Engines III,GT_2,9.9999999999999992E-2,,,,,,4,,4,,,,,,2,0.24,,,,,,3.3,-0.08,,,7.6,,0.39999999999999997,,2,1,,,,,
,,2000,Modern gas turbine engine,Modern Gas Turbine Engines,,Gas Turbine Engines IV,GT_3,0.17499999999999999,,,,,,4.5,,4.5,,,,,,2,0.26,,,,,,3.1999999999999997,-0.12,,,7.8999999999999995,,0.44999999999999996,,2,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APU [DONE],1939,World War II auxiliary power unit,WWII Combustion Engines,,Combustion Engines I,APU_0,0.01,,,,,,,,,,,,,,,,,,,,,,-0.05,,,0.25,,0.1,,,,,,,,
,,1950,Post-war auxiliary power unit,Post-WWII Combustion Engines,,Combustion Engines II,APU_1,1.4999999999999999E-2,,,,,,,,,,,,,,,,,,,,,,-7.5000000000000011E-2,,,0.5,,0.15000000000000002,,,,,,,,
,,1960,Early Cold War auxiliary power unit,Early Cold War Combustion Engines,,Combustion Engines III,APU_2,0.02,,,,,,,,,,,,,,,,,,,,,,-0.1,,,0.75,,0.2,,,,,,,,
,,1970,Mid-Cold War auxiliary power unit,Mid-Cold War Combustion Engines,,Combustion Engines IV,APU_3,2.5000000000000001E-2,,,,,,,,,,,,,,,,,,,,,,-0.125,,,1,,0.25,,,,,,,,
,,1980,Late Cold War auxiliary power unit,Late Cold War Combustion Engines,,Combustion Engines V,APU_4,3.0000000000000002E-2,,,,,,1,,2,,,,,,,,,,,,,,-0.15,,,1.25,,0.3,,,,,,,,
,,2000,Modern auxiliary power unit,Modern Combustion Engines,,Combustion Engines VI,APU_5,3.5000000000000003E-2,,,,,,2,,3,,,,,,,,,,,,,,-0.17499999999999999,,,1.5,,0.35,,,,,,,,
,,2020,Fuel cell auxiliary power unit,Hybrid Diesel-Electric Propulsion,,Combustion Engines VII,APU_6,6.0000000000000005E-2,,,,,,4,,4,,,,,,,,,,,,,,-0.3,,,4,,0.39999999999999997,,,1,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas Turbine APU [DONE],1960,Early Cold War gas turbine auxiliary power unit,Early Cold War Gas Turbine Engines,,Gas Turbine Engines I,GT_APU_0,0.03,,,,,,,,,,,,,,,,,,,,,,-0.2,,,1.5,,0.2,,,,,,,,
,,1970,Mid-Cold War gas turbine auxiliary power unit,Mid-Cold War Gas Turbine Engines,,Gas Turbine Engines II,GT_APU_1,3.4999999999999996E-2,,,,,,,,,,,,,,,,,,,,,,-0.22500000000000001,,,2,,0.25,,,,,,,,
,,1980,Late Cold War gas turbine auxiliary power unit,Late Cold War Gas Turbine Engines,,Gas Turbine Engines III,GT_APU_2,3.9999999999999994E-2,,,,,,2,,1,,,,,,,,,,,,,,-0.25,,,2.5,,0.3,,,,,,,,
,,2000,Modern gas turbine auxiliary power unit,Modern Gas Turbine Engines,,Gas Turbine Engines IV,GT_APU_3,4.4999999999999991E-2,,,,,,3,,2,,,,,,,,,,,,,,-0.27500000000000002,,,3,,0.35,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic Suspension [DONE],1939,4-wheel suspension,Base,,Base,Wheel_4,,-0.3,,,,,,,,,,,,,,-0.05,,,,,,,0.1,,,-0.5,-0.1,0.1,,,,,,,,
,,1939,6-wheel suspension,Base,,Base,Wheel_6,,-0.19999999999999998,,,,,0.5,,0.5,,,,,,,0.05,,,,,,,0.05,,,,,0.15,,,,,,,,
,,1939,8-wheel suspension,Base,,Base,Wheel_8,,-9.9999999999999978E-2,,,,,1,,1,,,,,,,0.15,,,,,,,,,,0.5,,0.2,,,,,,,,
,,1939,Half-track suspension,Base,,Base,Half_track,-0.1,-0.19999999999999998,,,,,1,,,,,,,,,-0.05,,,,,,,0.05,,,0.60000000000000009,,0.2,,,,,,,,
,,1939,Bogie suspension,Base,,Base,Bogie_0,,,,,,,1,,2,,,,,,,-0.15,,,,,,,7.5000000000000011E-2,,,0.7,,0.2,,1,,,,,,
,,1939,Independent internal suspension,Base,,Base,Independent_internal_0,-7.4999999999999997E-2,,,,,,3,,1,,,,,,,0.1,,,,,,,,,,1,,1,,1,,,,,,
,,1939,Independent external suspension,Base,,Base,Independent_external_0,0.05,,,,,,2,,3,,,,,,,-7.4999999999999997E-2,,,,,,,0.05,,,1,,0.2,,1,,,,,,
,,1939,Torsion bar suspension,Base,,Base,Torsion_0,0.1,,,,,,3,,3,,,,,,,,,,,,,,,,,1.5,,0.5,,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Advanced Suspension [DONE],1942,Bogie Suspension With Shock Absorbers,Modernized Suspension,,Modernized Suspension,Bogie_1,2.5000000000000001E-2,,,,,,1.5,,2.5,,,,,,,-0.125,,,,,,,7.5000000000000011E-2,,,1,,0.30000000000000004,,1,,,,,,
,,1942,Independent Internal Suspension With Shock Absorbers,Modernized Suspension,,Modernized Suspension,Independent_internal_1,-4.9999999999999996E-2,,,,,,3.5,,1.5,,,,,,,0.125,,,,,,,,,,1.3,,1.1000000000000001,,1,,,,,,
,,1942,Independent External Suspension With Shock Absorbers,Modernized Suspension,,Modernized Suspension,Independent_external_1,7.5000000000000011E-2,,,,,,2.5,,3.5,,,,,,,-4.9999999999999996E-2,,,,,,,0.05,,,1.3,,0.30000000000000004,,1,,,,,,
,,1942,Torsion Bar Suspension With Shock Absorbers,Modernized Suspension,,Modernized Suspension,Torsion_1,0.125,,,,,,3.5,,3.5,,,,,,,2.5000000000000001E-2,,,,,,,,,,1.8,,0.6,,1,,,,,,
,,1942,Hydro-Pneumatic Suspension,Modernized Suspension,,Modernized Suspension,Hydro_pneumatic_0,7.4999999999999997E-2,,,,,,5,,5,,,,,,,0.05,,,,,,,,,0.05,3.5,,0.5,,1,1,,,,,
,,1960,Variable Hydro-Pneumatic Suspension,Tracked Hydro-Pneumatic Suspension,,Tracked Hydro-Pneumatic Suspension,Hydro_pneumatic_1,7.4999999999999997E-2,,,,,,7,0.05,7,0.05,,,,,,0.05,,,,,,0.2,,,7.5000000000000011E-2,4.5,,0.7,,1,1,,,,,
,,2010,Active Suspension,Tracked Active Suspension,,Tracked Active Suspension,Hydro_pneumatic_2,7.4999999999999997E-2,,,,,,9,7.5000000000000011E-2,9,7.5000000000000011E-2,,,,,,0.15,,,,,,0.4,-0.05,,0.1,6.5,,0.89999999999999991,,1,1,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Type,Year,Module name,Unclocked by Tech,Tech Name,,Module Loc Name,Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resources,,,,,,,
,,,,,Long,Short,,"Reliability, %",Hardness,Hard attack,"Hard attack, %",Soft attack,"Soft attack, %",Breakthrough,"Breakthrough, %",Defence,"Defence, %",Armor,"Armor, %",Piercing,"Piercing, %",Max speed,"Max speed, %",Recon,"Recon, %",Entrenchment,Supply consumption,"Supply consumption, %",Fuel consumption,"Fuel consumption, %",Air Attack,"Air Attack, %",Production cost,"Production cost, %",Dismantling cost,Electricity,Construction metals,Light metals,Rare-earth metals,Nuclear materials,,,
Tank Guns,Light Tank Guns,1939,Early WWII Light Gun,Early WWII Light Gun,,Light Gun I,tank_light_cannon0,-0.05,,,-0.55000000000000004,,-0.55000000000000004,,,,,,,,-0.8,-0.2,,,,,,,,,,,1.5,,0.2,,1,,,,,,
,,1942,Mid-WWII Light Gun,Mid-WWII Light Gun,,Light Gun II,tank_light_cannon1,-0.1,,,-0.45000000000000007,,-0.45000000000000007,,,,,,,,-0.6,-0.3,,,,,,,,,,,1.8,,0.2,,1,,,,,,
,,1944,Late WWII Light Gun,Late WWII Light Gun,,Light Gun III,tank_light_cannon2,-0.15,,,-0.35000000000000009,,-0.35000000000000009,,,,,,,,-0.4,-0.3,,,,,,,,,,,2.1,,0.2,,1,,,,,,
,,1950,Post-WWII Light Gun,Post-WWII Light Gun,,Light Gun IV,tank_light_cannon3,-0.15,,,-0.25000000000000011,,-0.25000000000000011,,,,,,,,-0.2,-0.3,,,,,,,,,,,2.4,,0.2,,1,,,,,,
,,1960,Early Cold War Light Gun,Early Cold War Light Gun,,Light Gun V,tank_light_cannon4,-0.2,,,-0.20000000000000012,,-0.20000000000000012,,,,,,,,-0.185,-0.4,,,,,,,,,,,2.6999999999999997,,0.2,,2,,,,,,
,,1970,Mid-Cold War Light Gun,Mid-Cold War Light Gun,,Light Gun VI,tank_light_cannon5,-0.2,,,-0.15000000000000013,,-0.15000000000000013,,,,,,,,-0.16999999999999998,-0.4,,,,,,,,,,,2.9999999999999996,,0.2,,2,,,,,,
,,1980,Late Cold War Light Gun,Late Cold War Light Gun,,Light Gun VII,tank_light_cannon6,-0.2,,,-0.10000000000000013,,-0.10000000000000013,,,,,,,,-0.15499999999999997,-0.4,,,,,,,,,,,3.2999999999999994,,0.2,,2,,,,,,
,,1990,Early Modern Light Gun,Early Modern Light Gun,,Light Gun VIII,tank_light_cannon7,-0.2,,,-5.0000000000000128E-2,,-5.0000000000000128E-2,,,,,,,,-0.13999999999999996,-0.5,,,,,,,,,,,3.5999999999999992,,0.2,,2,,,,,,
,,2005,Modern Light Gun,Modern Light Gun,,Light Gun IX,tank_light_cannon8,-0.2,,,-1.2490009027033011E-16,,-1.2490009027033011E-16,,,,,,,,-0.12499999999999996,-0.5,,,,,,,,,,,3.899999999999999,,0.2,,2,,,,,,
,,2015,Advanced Modern Light Gun,Advanced Modern Light Gun,,Light Gun X,tank_light_cannon9,-0.2,,,4.9999999999999878E-2,,4.9999999999999878E-2,,,,,,,,-0.10999999999999996,-0.5,,,,,,,,,,,4.1999999999999993,,0.2,,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Medium Tank Guns,1939,Early WWII Medium Gun,Early WWII Medium Gun,,Medium Gun I,tank_medium_cannon0,-0.15,,,-0.3,,-0.3,,,,,,,,-0.55000000000000004,-0.4,,,,,,,,,,,3,,0.3,,2,,,,,,
,,1942,Mid-WWII Medium Gun,Mid-WWII Medium Gun,,Medium Gun II,tank_medium_cannon1,-0.2,,,-0.19999999999999998,,-0.19999999999999998,,,,,,,,-0.3,-0.5,,,,,,,,,,,3.4,,0.3,,2,,,,,,
,,1944,Late WWII Medium Gun,Late WWII Medium Gun,,Medium Gun III,tank_medium_cannon2,-0.25,,,-9.9999999999999978E-2,,-9.9999999999999978E-2,,,,,,,,-0.15,-0.5,,,,,,,,,,,3.8,,0.3,,2,,,,,,
,,1950,Post-WWII Medium Gun,Post-WWII Medium Gun,,Medium Gun IV,tank_medium_cannon3,-0.25,,,0,,0,,,,,,,,0,-0.5,,,,,,,,,,,4.2,,0.3,,2,,,,,,
,,1960,Early Cold War MBT Smoothbore Gun,Early Cold War MBT Gun,,MBT Smoothbore Gun I,tank_smooth_mbt_cannon1,-0.3,,,2.5000000000000001E-2,,2.5000000000000001E-2,,,,,,,,0.125,-0.6,,,,,,,,,,,4.6000000000000005,,0.3,,3,,,,,,
,,1970,Mid-Cold War MBT Smoothbore Gun,Mid-Cold War MBT Gun,,MBT Smoothbore Gun II,tank_smooth_mbt_cannon2,-0.3,,,7.5000000000000011E-2,,7.5000000000000011E-2,,,,,,,,0.15,-0.6,,,,,,,,,,,5.0000000000000009,,0.3,,3,,,,,,
,,1980,Late Cold War MBT Smoothbore Gun,Late Cold War MBT Gun,,MBT Smoothbore Gun III,tank_smooth_mbt_cannon3,-0.3,,,0.125,,0.125,,,,,,,,0.17499999999999999,-0.6,,,,,,,,,,,5.4000000000000012,,0.3,,3,,,,,,
,,1990,Early Modern MBT Smoothbore Gun,Early Modern MBT Gun,,MBT Smoothbore Gun IV,tank_smooth_mbt_cannon4,-0.3,,,0.17499999999999999,,0.17499999999999999,,,,,,,,0.19999999999999998,-0.7,,,,,,,,,,,5.8000000000000016,,0.3,,3,,,,,,
,,2005,Modern MBT Smoothbore Gun,Modern MBT Gun,,MBT Smoothbore Gun V,tank_smooth_mbt_cannon5,-0.3,,,0.22499999999999998,,0.22499999999999998,,,,,,,,0.22499999999999998,-0.7,,,,,,,,,,,6.200000000000002,,0.3,,3,,,,,,
,,2015,Advanced Modern MBT Smoothbore Gun,Advanced Modern MBT Gun,,MBT Smoothbore Gun VI,tank_smooth_mbt_cannon6,-0.3,,,0.27499999999999997,,0.27499999999999997,,,,,,,,0.24999999999999997,-0.7,,,,,,,,,,,6.6000000000000023,,0.3,,3,,,,,,
,,1960,Early Cold War MBT Rifled Gun,Early Cold War MBT Gun,,MBT Rifled Gun I,tank_rifled_mbt_cannon1,-0.3,,,7.4999999999999997E-2,,7.4999999999999997E-2,,,,,,,,2.5000000000000001E-2,-0.6,,,,,,,,,,,5,,0.3,,3,,,,,,
,,1970,Mid-Cold War MBT Rifled Gun,Mid-Cold War MBT Gun,,MBT Rifled Gun II,tank_rifled_mbt_cannon2,-0.3,,,0.125,,0.125,,,,,,,,0.05,-0.6,,,,,,,,,,,5.4,,0.3,,3,,,,,,
,,1980,Late Cold War MBT Rifled Gun,Late Cold War MBT Gun,,MBT Rifled Gun III,tank_rifled_mbt_cannon3,-0.3,,,0.17499999999999999,,0.17499999999999999,,,,,,,,7.5000000000000011E-2,-0.6,,,,,,,,,,,5.8000000000000007,,0.3,,3,,,,,,
,,1990,Early Modern MBT Rifled Gun,Early Modern MBT Gun,,MBT Rifled Gun IV,tank_rifled_mbt_cannon4,-0.3,,,0.22499999999999998,,0.22499999999999998,,,,,,,,0.1,-0.7,,,,,,,,,,,6.2000000000000011,,0.3,,3,,,,,,
,,2005,Modern MBT Rifled Gun,Modern MBT Gun,,MBT Rifled Gun V,tank_rifled_mbt_cannon5,-0.3,,,0.27499999999999997,,0.27499999999999997,,,,,,,,0.125,-0.7,,,,,,,,,,,6.6000000000000014,,0.3,,3,,,,,,
,,2015,Advanced Modern MBT Rifled Gun,Advanced Modern MBT Gun,,MBT Rifled Gun VI,tank_rifled_mbt_cannon6,-0.3,,,0.32499999999999996,,0.32499999999999996,,,,,,,,0.15,-0.7,,,,,,,,,,,7.0000000000000018,,0.3,,3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heavy Tank Guns,1942,Mid-WWII Heavy Gun,Mid-WWII Heavy Gun,,Heavy Gun I,tank_heavy_cannon0,-0.3,,,0,,0,,,,,,,,-0.05,-0.6,,,,,,,,,,,6,,0.4,,3,,,,,,
,,1944,Late WWII Heavy Gun,Late WWII Heavy Gun,,Heavy Gun II,tank_heavy_cannon1,-0.3,,,0.05,,0.05,,,,,,,,0,-0.6,,,,,,,,,,,6.5,,0.4,,3,,,,,,
,,1950,Post-WWII Heavy Gun,Post-WWII Heavy Gun,,Heavy Gun III,tank_heavy_cannon2,-0.3,,,0.1,,0.1,,,,,,,,0.15,-0.7,,,,,,,,,,,7,,0.4,,3,,,,,,
,,1955,Early Cold War Heavy Gun,Early Cold War Heavy Gun,,Heavy Gun IV,tank_heavy_cannon3,-0.35,,,0.15000000000000002,,0.15000000000000002,,,,,,,,0.2,-0.7,,,,,,,,,,,7.5,,0.4,,3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Super Heavy Gun,1955,Early Cold War Super Heavy Gun,Early Cold War Super Heavy Gun,,Super-Heavy Gun I,tank_super_heavy_cannon,-0.4,,,0.25,,0.25,,,,,,,,0.35,-1.2,,,,,,,,,,,8,,0.5,,5,,,,,,
